dataset,level,algorithm,number,mal_pre,mal_recall,mal_f1,good_pre,good_recall,good_f1
amd,api,DT,0,0.9501,0.9474,0.9488,0.9476,0.9503,0.9489
amd,api,RF,0,0.9840,0.8920,0.9358,0.9013,0.9855,0.9415
amd,api,SVM,0,0.9720,0.9955,0.9836,0.9953,0.9713,0.9832
amd,api,DT,1,0.9499,0.9435,0.9467,0.9438,0.9503,0.9471
amd,api,RF,1,0.9769,0.9233,0.9493,0.9273,0.9781,0.9520
amd,api,SVM,1,0.9714,0.9955,0.9833,0.9953,0.9707,0.9829
amd,api,DT,2,0.9544,0.9503,0.9523,0.9505,0.9545,0.9525
amd,api,RF,2,0.9757,0.8901,0.9309,0.8989,0.9778,0.9367
amd,api,SVM,2,0.9703,0.9926,0.9813,0.9924,0.9696,0.9809
amd,api,DT,3,0.9566,0.9460,0.9513,0.9466,0.9571,0.9518
amd,api,RF,3,0.9766,0.8901,0.9313,0.8990,0.9787,0.9372
amd,api,SVM,3,0.9727,0.9938,0.9831,0.9936,0.9722,0.9828
amd,api,DT,4,0.9528,0.9469,0.9498,0.9472,0.9531,0.9502
amd,api,RF,4,0.9769,0.9026,0.9383,0.9095,0.9787,0.9428
amd,api,SVM,4,0.9730,0.9935,0.9831,0.9933,0.9724,0.9828
amd,api,DT,5,0.9618,0.9653,0.9636,0.9652,0.9616,0.9634
amd,api,RF,5,0.9761,0.9153,0.9447,0.9203,0.9776,0.9481
amd,api,SVM,5,0.9708,0.9935,0.9820,0.9933,0.9702,0.9816
amd,api,DT,6,0.9525,0.9622,0.9573,0.9618,0.9520,0.9569
amd,api,RF,6,0.9826,0.8812,0.9292,0.8924,0.9844,0.9361
amd,api,SVM,6,0.9717,0.9935,0.9824,0.9933,0.9710,0.9820
amd,api,DT,70y,0.9578,0.9611,0.9594,0.9609,0.9577,0.9593
amd,api,RF,70y,0.9688,0.9443,0.9564,0.9457,0.9696,0.9575
amd,api,SVM,70y,0.9730,0.9932,0.9830,0.9930,0.9724,0.9826
amd,api,DT,7,0.9528,0.9455,0.9491,0.9459,0.9531,0.9495
amd,api,RF,7,0.9789,0.9088,0.9425,0.9149,0.9804,0.9465
amd,api,SVM,7,0.9719,0.9938,0.9827,0.9936,0.9713,0.9823
amd,api,DT,8,0.9529,0.9651,0.9589,0.9646,0.9523,0.9584
amd,api,RF,8,0.9763,0.9230,0.9489,0.9270,0.9776,0.9516
amd,api,SVM,8,0.9733,0.9952,0.9841,0.9951,0.9727,0.9838
amd,api,DT,9,0.9460,0.9608,0.9533,0.9602,0.9452,0.9526
amd,api,RF,9,0.9762,0.9219,0.9483,0.9260,0.9776,0.9511
amd,api,SVM,9,0.9727,0.9938,0.9831,0.9936,0.9722,0.9828
amd,dex,DT,0,0.9515,0.8828,0.9159,0.8907,0.9550,0.9218
amd,dex,RF,0,0.9780,0.8181,0.8909,0.8437,0.9816,0.9074
amd,dex,SVM,0,0.9766,0.9946,0.9856,0.9945,0.9762,0.9853
amd,dex,DT,1,0.9480,0.8801,0.9128,0.8881,0.9517,0.9188
amd,dex,RF,1,0.9843,0.9160,0.9489,0.9214,0.9854,0.9524
amd,dex,SVM,1,0.9800,0.9938,0.9868,0.9937,0.9797,0.9866
amd,dex,DT,2,0.9524,0.8828,0.9163,0.8908,0.9559,0.9222
amd,dex,RF,2,0.9782,0.8261,0.8957,0.8495,0.9816,0.9108
amd,dex,SVM,2,0.9776,0.9932,0.9854,0.9931,0.9773,0.9851
amd,dex,DT,3,0.9476,0.8818,0.9135,0.8895,0.9512,0.9193
amd,dex,RF,3,0.9820,0.8526,0.9128,0.8698,0.9844,0.9235
amd,dex,SVM,3,0.9778,0.9938,0.9857,0.9936,0.9774,0.9855
amd,dex,DT,4,0.9544,0.8691,0.9098,0.8799,0.9585,0.9175
amd,dex,RF,4,0.9835,0.8379,0.9049,0.8588,0.9859,0.9180
amd,dex,SVM,4,0.9776,0.9929,0.9852,0.9928,0.9773,0.9850
amd,dex,DT,5,0.9553,0.8748,0.9133,0.8846,0.9590,0.9203
amd,dex,RF,5,0.9819,0.9229,0.9515,0.9273,0.9830,0.9543
amd,dex,SVM,5,0.9806,0.9932,0.9869,0.9931,0.9804,0.9867
amd,dex,DT,6,0.9526,0.8610,0.9044,0.8732,0.9571,0.9132
amd,dex,RF,6,0.9821,0.8207,0.8942,0.8460,0.9851,0.9103
